"epoch","obj","obj_mds","obj_confr","p_z","p_0"
81,1478.12433488893,1124.81225683489,3533.12078054042,0.309,0.004
82,1432.09601563378,1130.19357777225,3019.02437861531,0.27,0.004
83,1391.04546012911,1129.65396359229,2613.91496536818,0.263,0.004
84,1409.4047674163,1132.00217444267,2774.02592973627,0.257,0.004
85,1436.71300125262,1134.26221292739,3024.50788325235,0.254,0.004
86,1456.60270520678,1136.06790266346,3205.34802543316,0.227,0.004
87,1464.71804303417,1137.49839955924,3272.19643474938,0.232,0.004
88,1455.29703707518,1141.88202991728,3134.15007157898,0.227,0.004
89,1378.9140028833,1142.71097457236,2362.03028310935,0.189,0.004
90,1478.27972947772,1144.75733927263,3335.22390205095,0.205,0.004
91,1510.26804511534,1144.18651718923,3660.81527926112,0.214,0.004
92,1492.90470497459,1149.34980721806,3435.54897756531,0.186,0.004
93,1510.63490385699,1148.08414068612,3625.50763170873,0.189,0.004
94,1430.35337825411,1152.11502757531,2782.38350678804,0.19,0.004
95,1425.87635467321,1150.37226640834,2755.04088264869,0.18,0.004
96,1680.7115799912,1153.09648131061,5276.15098680589,0.171,0.004
97,1387.26203777271,1156.14162716649,2311.20410606222,0.189,0.004
98,1455.14828620351,1157.03577938106,2981.12506822448,0.164,0.004
99,1585.14857721796,1158.11279232236,4270.35784895601,0.176,0.004
100,1373.2973063677,1159.31045930356,2139.86847064143,0.135,0.004
101,1469.2067898078,1159.22985093382,3099.76938873987,0.163,0.004
102,1455.76246462785,1164.35593982728,2914.06524800572,0.157,0.004
103,1525.96905991409,1164.5731190002,3613.95940913899,0.145,0.004
104,1491.34833723372,1166.31660842679,3250.31728806929,0.142,0.004
105,1468.00397477986,1167.3811380734,3006.22836706462,0.16,0.004
106,1437.33268168528,1166.01933685766,2713.13344827626,0.144,0.004
107,1407.37642491997,1169.86556509256,2375.10859827415,0.129,0.004
108,1385.5244389152,1168.97649554946,2165.47943365737,0.136,0.004
109,1454.93100077617,1172.92478997534,2820.06210800834,0.126,0.004
110,1410.99563800958,1171.06662443251,2399.29013577067,0.14,0.004
111,1404.45088423054,1172.79324282345,2316.57641407099,0.129,0.004
112,1414.96393446322,1171.28223195957,2436.81702503648,0.13,0.004
113,1486.94931656084,1173.0680016999,3138.81314860942,0.11,0.004
114,1407.42173419521,1176.4110612941,2310.10672901112,0.128,0.004
115,1427.72464073145,1178.49180368356,2492.3283704789,0.125,0.004
116,1545.6340598288,1178.85717692502,3667.76882903787,0.117,0.004
117,1443.2158528017,1178.32062993178,2648.95222869928,0.112,0.004
118,1433.00131687168,1180.37992121478,2526.21395656901,0.106,0.004
119,1495.68121819988,1178.23481272668,3174.46405473203,0.102,0.004
120,1416.20768162927,1177.26919969358,2389.38481935687,0.125,0.004
121,1440.60147030789,1180.22193649952,2603.79533808369,0.123,0.004
122,1455.36786857643,1180.65314719803,2747.14721378401,0.091,0.004
123,1446.62774890258,1181.02200738792,2656.05741514662,0.099,0.004
124,1404.25665596541,1181.70795580548,2225.48700159926,0.121,0.004
125,1469.43600610092,1182.19962032554,2872.36385775373,0.124,0.004
126,1443.73383601623,1187.15515835741,2565.78677658825,0.114,0.004
127,1380.77885447743,1181.96432552916,1988.14528948267,0.126,0.004
128,1434.90257664791,1181.29098540958,2536.11591238336,0.103,0.004
129,1414.69598041075,1181.75649906705,2329.394813437,0.106,0.004
130,1320.92608122047,1184.29676805665,1366.29313163816,0.1,0.004
131,1419.46372859772,1183.00575140976,2364.57977187968,0.116,0.004
132,1458.38748727313,1186.44976570896,2719.37721564164,0.107,0.004
133,1490.86941465784,1186.40574297169,3044.63671686143,0.09,0.004
134,1419.25536449837,1186.77584871946,2324.79515778909,0.114,0.004
135,1442.61917921727,1183.93671478645,2586.82464430826,0.103,0.004
136,1531.2952204876,1186.33889189081,3449.5632859679,0.08,0.004
137,1439.43937237959,1185.65786487606,2537.81507503535,0.092,0.004
138,1433.52054041611,1184.39467490216,2491.25865513946,0.106,0.004
139,1386.10940290647,1185.52346474453,2005.85938161944,0.096,0.004
140,1447.46337024282,1184.50599805085,2629.57372191972,0.11,0.004
141,1511.56696454923,1185.53532636859,3260.31638180633,0.114,0.004
142,1621.01949315669,1188.43675714164,4325.82736015053,0.095,0.004
143,1443.51839182775,1185.78415192393,2577.34239903821,0.114,0.004
144,1379.84517925378,1187.10027540136,1927.44903852423,0.102,0.004
145,1470.25966933296,1190.57856595822,2796.81103374744,0.099,0.004
146,1414.1223754422,1187.70402106977,2264.18354372421,0.107,0.004
147,1408.94274194933,1188.87443099979,2200.68310949539,0.122,0.004
148,1434.12150639939,1189.88523103831,2442.36275361079,0.101,0.004
149,1416.83928413512,1186.84297055222,2299.96313582901,0.101,0.004
150,1393.26331721079,1189.34813536707,2039.15181843721,0.096,0.004
151,1495.94081050324,1187.07219963726,3088.6861086598,0.095,0.004
152,1499.26078871348,1187.73986519221,3115.20923521263,0.092,0.004
153,1382.31767723002,1189.29630979314,1930.21367436877,0.088,0.004
154,1403.08007644349,1192.17469271498,2109.05383728507,0.101,0.004
155,1375.71766326833,1188.62127579357,1870.96387474761,0.088,0.004
156,1395.11249406967,1194.13002424674,2009.82469822923,0.105,0.004
157,1368.90158948751,1187.65624429738,1812.45345190131,0.104,0.004
158,1440.16060716523,1188.51650385209,2516.4410331314,0.091,0.004
159,1377.57652075288,1188.18485807985,1893.9166267303,0.128,0.004
160,1403.91127904676,1191.68318002262,2122.28099024137,0.102,0.004
161,1482.73358315636,1190.55545573002,2921.78127426337,0.125,0.004
162,1503.86361072248,1187.87471503593,3159.88895686546,0.078,0.004
163,1451.11389177284,1190.33659918412,2607.7729258872,0.087,0.004
164,1420.04359165396,1188.22436407596,2318.19227577996,0.086,0.004
165,1420.30903533143,1198.60223031589,2217.06805015542,0.094,0.004
166,1575.22109865605,1189.65380082722,3855.6729782883,0.102,0.004
167,1380.89191976166,1189.17538185287,1917.16537908791,0.101,0.004
168,1401.07137696696,1194.39093889767,2066.8043806929,0.083,0.004
169,1489.06109153375,1189.82208467891,2992.39006854843,0.1,0.004
170,1450.39659824767,1190.62333200031,2597.73266247358,0.097,0.004
171,1403.01346623002,1190.48662647254,2125.26839757479,0.105,0.004
172,1427.93718068654,1190.67658457826,2372.60596108279,0.107,0.004
173,1539.63769666773,1191.42126741703,3482.16429250701,0.118,0.004
174,1431.01360411407,1195.03815338772,2359.75450726352,0.101,0.004
175,1421.78974057791,1189.92846468785,2318.61275890063,0.11,0.004
176,1418.86285617473,1191.75719361971,2271.05662555015,0.101,0.004
177,1448.33766713812,1188.23629562795,2601.01371510173,0.102,0.004
178,1378.34994401966,1190.25199645139,1880.97947568275,0.117,0.004
179,1572.32237054285,1191.70133984754,3806.21030695307,0.082,0.004
180,1413.1259132819,1193.30154186765,2198.24371414247,0.09,0.004
181,1375.05984005074,1187.68175723351,1873.78082817231,0.1,0.004
182,1519.5102746573,1195.62281414844,3238.87460508867,0.099,0.004
183,1410.91892217211,1194.6273771966,2162.91544975512,0.091,0.004
184,1378.2921896017,1189.17003177036,1891.22157831333,0.1,0.004
185,1461.35445971973,1190.61073827256,2707.43721447168,0.083,0.004
186,1525.28975850008,1188.11803694705,3371.7172155303,0.1,0.004
187,1373.01058805569,1190.51938676699,1824.91201288698,0.102,0.004
188,1425.99232925766,1192.02821555747,2339.64113700192,0.102,0.004
189,1501.80921637477,1189.30370119024,3125.05515184531,0.103,0.004
190,1418.98460150511,1192.38426652744,2266.00334977663,0.096,0.004
191,1504.3248167985,1198.68673033715,3056.38086461346,0.099,0.004
192,1355.19719615754,1189.11271875037,1660.84477407175,0.08,0.004
193,1447.46590197997,1191.01449306369,2564.51408916283,0.078,0.004
194,1453.15882003917,1189.98458399092,2631.7423604825,0.101,0.004
195,1391.72941162317,1193.32578984343,1984.03621779737,0.082,0.004
196,1411.36711457601,1191.44372834517,2199.23386230835,0.089,0.004
197,1479.65756556222,1189.13144309826,2905.26122463962,0.099,0.004
198,1398.48436927816,1188.50089555433,2099.83473723825,0.121,0.004
199,1417.57787886366,1188.28367996307,2292.94198900591,0.092,0.004
200,1362.57528027945,1189.73236558188,1728.42914697573,0.096,0.004
