"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,3344.70339209246,1796.27237138535,3440.95782379356,0.908,0.002
1,3120.89765688069,1326.78428583721,3986.91860231885,0.843,0.002
2,3049.27547708254,1341.55577160801,3794.93267883229,0.758,0.002
3,3023.10383646015,1286.72005294975,3858.63063002312,0.648,0.002
4,2592.71870895302,1301.11050621082,2870.24045053823,0.509,0.002
5,2699.89858984474,1369.12054268479,2957.28454924434,0.31,0.002
6,2332.3106505961,1391.78955126425,2090.0468874041,0.151,0.002
7,2407.23015799183,1510.97634757579,1991.67513425787,0.066,0.002
8,2413.62116836938,1693.85352140717,1599.48365991602,0.008,0.002
9,2400.85607191054,1994.36669379425,903.309729147321,0.003,0.002
