"V1","V2"
0.61703077570361,0.624942534395649
0.577969107174501,0.58588086586654
0.590004847649943,0.597916606341983
0.569343463853418,0.577255222545457
0.642757814987253,0.650669573679293
0.634674218590825,0.642585977282865
0.574512017014997,0.582423775707036
0.686800564027115,0.694712322719154
0.640632446696711,0.64854420538875
0.582544711534278,0.590456470226317
0.610518550901966,0.618430309594006
0.606531851055273,0.614443609747312
0.56227216163367,0.570183920325709
0.553414662562132,0.561326421254172
0.598261422039893,0.606173180731932
0.647917075948402,0.655828834640441
0.58886401022267,0.59677576891471
0.588162033259666,0.596073791951705
0.589581877185223,0.597493635877262
0.611885127090906,0.619796885782945
0.634900683640926,0.642812442332965
0.594849956142115,0.602761714834155
0.602852522988157,0.610764281680196
0.613871476669673,0.621783235361712
0.590657187426168,0.598568946118207
0.687690754623105,0.695602513315144
0.583963258343548,0.591875017035587
0.569806090769882,0.577717849461922
0.567310792677417,0.575222551369457
0.624665684912071,0.63257744360411
0.621266539941945,0.629178298633985
0.609326270808262,0.617238029500302
0.611304543523084,0.619216302215123
0.559528224588467,0.567439983280506
0.623210291042815,0.631122049734855
0.608257183871293,0.616168942563333
0.592267989814749,0.600179748506788
0.661398069032014,0.669309827724054
0.610645390511142,0.618557149203181
0.619866561257717,0.627778319949756
0.6148942658364,0.622806024528439
0.594050181590514,0.601961940282553
0.623780839433265,0.631692598125304
0.609469620195766,0.617381378887805
0.607588358429343,0.615500117121382
0.602693589071404,0.610605347763444
0.612116559742742,0.620028318434781
0.681246222996293,0.689157981688333
0.607946955320726,0.615858714012766
0.599256783860073,0.607168542552113
0.594876034413469,0.602787793105508
0.59809594501567,0.606007703707709
0.555034348631045,0.562946107323085
0.611175696711478,0.619087455403517
0.579688498269862,0.587600256961901
0.632843298323355,0.640755057015394
0.668632238585615,0.676543997277655
0.581338883540173,0.589250642232213
0.583636349257999,0.591548107950038
0.572902218779891,0.58081397747193
0.622279672919906,0.630191431611946
0.623267918868995,0.631179677561034
0.574564581568355,0.582476340260395
0.610308420417914,0.618220179109953
0.636071192560036,0.643982951252075
0.616746518924489,0.624658277616528
