"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,21839.5983543687,1796.27237138535,133622.173219889,0.91,0.008
1,19991.7854293033,2723.94251883591,115118.952736449,0.885,0.008
2,19700.719631187,2623.73148074763,113846.587669596,0.855,0.008
3,19209.8573287708,2741.37317358785,109789.894367886,0.83,0.008
4,19447.2013599574,2703.5096045529,111624.611702697,0.775,0.008
5,19896.6015547731,2657.91465379197,114924.579339874,0.768,0.008
6,19682.5540516749,2655.61566044465,113512.922608202,0.674,0.008
7,19565.9695486225,2696.34322920187,112464.175462804,0.623,0.008
8,19644.5925053331,2590.79960612451,113691.952661391,0.578,0.008
9,19648.0066210489,2633.03955422021,113433.113778858,0.51,0.008
10,19536.679543804,2640.12850959921,112643.673561365,0.425,0.008
11,19331.9771459343,2697.60110852787,110895.840249376,0.324,0.008
12,19478.1275592399,2651.66459025888,112176.419793207,0.291,0.008
13,19838.8656188496,2686.80189419273,114347.091497713,0.206,0.008
14,19302.0216955595,2727.35375925755,110497.786242013,0.172,0.008
15,18790.165605453,2684.00011077003,107374.43663122,0.107,0.008
16,18753.9721850806,2746.03806631331,106719.560791782,0.076,0.008
17,18983.6330184652,2800.42386158863,107888.061045844,0.04,0.008
18,18805.1839996548,2814.57130630779,106604.084622314,0.022,0.008
19,18672.3062438551,2834.32071623501,105586.570184134,0.004,0.008
