"epoch","obj","obj_mds","obj_confr","p_z","p_0"
60,11866.8123720688,1748.60869167163,126477.546004964,0.138,0.008
61,11767.0705787069,1749.96488563213,125213.821163434,0.126,0.008
62,11893.9615731295,1723.33632403694,127132.815613657,0.123,0.008
63,11863.23904468,1738.77314967757,126555.82368753,0.097,0.008
64,11760.6944566932,1732.02561069973,125358.360574918,0.099,0.008
65,11633.3320199296,1763.23739894424,123376.182762318,0.102,0.008
66,11570.4119931283,1764.40356245984,122575.105383355,0.069,0.008
67,11897.5200994209,1757.36196419661,126751.976690303,0.082,0.008
68,11578.7405798324,1773.94677610965,122559.922546534,0.073,0.008
69,11669.7047780064,1763.94137151462,123822.042581147,0.054,0.008
70,11531.4229717039,1765.75761081542,122070.817011106,0.073,0.008
71,11944.5634259219,1769.62597948245,127186.718080493,0.055,0.008
72,11930.160117952,1784.53276059501,126820.341966962,0.045,0.008
73,11669.4939494249,1792.10972179577,123467.302845365,0.037,0.008
74,11629.8429397417,1842.56998143504,122340.911978833,0.033,0.008
75,11626.6587780062,1800.380300538,122828.480968353,0.03,0.008
76,11924.7362254955,1809.58589221416,126439.379166016,0.028,0.008
77,11579.6398436611,1812.32670233452,122091.414266582,0.036,0.008
78,11805.2099573953,1819.89605771998,124816.423745941,0.031,0.008
79,11640.3673017655,1829.44755499336,122636.496834651,0.025,0.008
80,11537.0860048244,1832.72490369365,121304.513764134,0.02,0.008
81,12114.8734558894,1861.63740026457,128165.450695311,0.024,0.008
82,11405.05680636,1851.90976358421,119414.338034697,0.017,0.008
83,11816.7026241943,1870.34249084433,124329.501666875,0.017,0.008
84,11660.5818793768,1862.55405227412,122475.347838784,0.023,0.008
85,11667.5782410541,1863.40986900418,122552.104650624,0.009,0.008
