"","Axis.1","Axis.2","label"
"Con1-rep1-1-plate3",-0.0549644378086169,0.109790776972812,1
"Con1-rep1-2-plate3",-0.0329288056486007,0.049572390444877,1
"Con1-rep1-3-plate3",-0.0092501708419575,0.0466012797631424,2
"Con1-rep1-4-plate3",-0.00136893071261809,-0.0578612675863837,2
"Con1-rep1-5-plate3",0.0317530547569579,-0.0781705046381952,2
"Con1-rep1-6-plate3",0.0236373847421644,0.04267022673947,2
"Con1-rep2-1-plate3",0.00995623580119496,0.0830102204305028,2
"Con1-rep2-2-plate3",-0.00833106509710318,0.0823293901063419,2
"Con1-rep2-3-plate3",-0.00922286795595056,0.0533516829994913,1
"Con1-rep2-4-plate3",0.0366261932311524,-0.0237124263781097,1
"Con1-rep2-5-plate3",0.0273224795111108,-0.0384291036772249,2
"Con1-rep2-6-plate3",0.0569479783779607,0.0645927297705811,2
"Con1-rep3-1-plate3",0.00961552760729721,-0.0897326384316122,1
"Con1-rep3-2-plate3",0.0413161567611358,-0.0909616632513357,2
"Con1-rep3-3-plate3",-0.055016801122018,-0.046363301881892,1
"Con1-rep3-4-plate3",0.029834124464009,-0.128031602650559,2
"Con1-rep3-5-plate3",0.01147651438697,-0.0474295810506983,1
"Con1-rep3-6-plate3",0.0146120196447017,-0.108968426988553,1
"Con2-rep1-1-plate3",0.0142208902898569,-0.122454479924532,1
"Con2-rep1-2-plate3",0.051755784325097,-0.108047831901236,2
"Con2-rep1-3-plate3",0.0201708728579254,-0.0651522409295001,2
"Con2-rep1-4-plate3",0.0249071094472879,-0.0510885048241421,1
"Con2-rep1-5-plate3",0.0183194717354294,-0.0830202218489323,2
"Con2-rep1-6-plate3",0.0557469533983036,-0.0223733547765253,1
"Con2-rep2-1-plate3",-0.00580702525505038,0.0407081220722369,1
"Con2-rep2-2-plate3",0.0113473139183592,0.0497435895495314,2
"Con2-rep2-3-plate3",-0.106390352851799,0.0416872069977116,2
"Con2-rep2-4-plate3",-0.0246758103243696,0.0742839487805845,1
"Con2-rep2-5-plate3",0.00192646607263193,0.011452016171256,1
"Con2-rep2-6-plate3",-0.0628471266405795,0.000300625716205296,2
"Con2-rep3-1-plate3",-0.0236347915120408,0.0897736100688238,1
"Con2-rep3-2-plate3",-0.0128523891064867,0.105734177609158,1
"Con2-rep3-3-plate3",-0.0140845802057221,0.0615017902872501,1
"Con2-rep3-4-plate3",-0.00238526685524058,-0.0103568578516221,2
"Con2-rep3-5-plate3",-0.0324161131833745,0.068725993963549,1
"Con2-rep3-6-plate3",-0.0346320698282968,0.0905228983404743,2
