"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,203.506628169155,144.113024031064,197.978680460305,0.975,0.033
1,266.474130555153,51.3782155586439,716.986383321698,0.822,0.033
2,271.485806139391,47.0702592641401,748.051822917502,0.693,0.033
3,241.731325064102,45.2823416744254,654.829944632256,0.528,0.033
4,183.520505578476,44.3790859881897,463.80473196762,0.324,0.033
5,160.481173067764,43.8462099210295,388.783210489116,0.135,0.033
6,119.307949370828,43.4891112576117,252.729460377387,0.052,0.033
