"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,19.8995428214712,16.4620048805119,22.9169196063956,0.589,0.026
1,19.0388360380996,6.04633963297767,86.6166427008127,0.465,0.026
2,15.5810480947805,5.56140292044478,66.7976344955717,0.38,0.026
3,15.5220136695098,5.36587156830909,67.7076140080049,0.304,0.026
4,15.3699498824339,5.27493640491078,67.3000898501539,0.23,0.026
5,13.7616457344628,5.22330892622173,56.9222453882737,0.179,0.026
6,11.2433571996876,5.18906857516631,40.361924163475,0.121,0.026
7,8.75422754654737,5.16726635498757,23.9130746103987,0.077,0.026
8,5.5883168539493,5.1549329764834,2.88922584977265,0.049,0.026
9,5.23331324375646,5.14873507632593,0.56385444953682,0.031,0.026
