"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,87.6486597429492,77.7445973008063,99.0406244214291,0.986,0.019
1,67.9701599537355,26.9160014108606,410.541585428749,0.738,0.019
2,69.6215662832084,24.4850042972558,451.365619859525,0.582,0.019
3,62.4200575079467,23.5464848713255,388.735726366212,0.48,0.019
4,65.6692192769667,23.0810735702183,425.881457067484,0.395,0.019
5,58.8614115835312,22.8156752035876,360.457363799437,0.29,0.019
6,55.7897704655461,22.6356199625245,331.541505030215,0.266,0.019
7,54.0948536147281,22.5032048643552,315.916487503729,0.183,0.019
8,51.4878176492016,22.3962750999042,290.915425492974,0.147,0.019
9,41.1058203148724,22.2995560122166,188.062643026558,0.124,0.019
10,30.5620504469977,22.2073970565585,83.5465339043922,0.079,0.019
11,31.3749173680997,22.1196810555127,92.5523631258692,0.064,0.019
12,33.8937479290438,22.0405330957892,118.532148332546,0.036,0.019
13,26.3306445444764,21.9706199006093,43.600246438671,0.023,0.019
14,29.6804983235481,21.9082633846836,77.7223493886451,0.016,0.019
