,c_loss,c_acc,p_loss,p_acc,val_p_loss,val_p_acc
0,2.8577849864959717,0.4000000059604645,2.3478572368621826,0.0,2.346982002258301,0.0
1,2.7575998306274414,0.3916666805744171,2.36051607131958,0.0,2.346247911453247,0.0
2,2.5786423683166504,0.5166666507720947,2.3274593353271484,0.0,2.3108294010162354,0.0
3,2.149195909500122,0.49166667461395264,2.293722629547119,0.0,2.2908236980438232,0.0
4,1.5957201719284058,0.6583333611488342,2.2932701110839844,0.0,2.293377161026001,0.0
5,1.2100918292999268,0.7666666507720947,2.29148006439209,0.01666666753590107,2.2874996662139893,0.0
6,0.9168844819068909,0.824999988079071,2.2849621772766113,0.01666666753590107,2.2784759998321533,0.0
7,0.7926308512687683,0.8166666626930237,2.2812771797180176,0.01666666753590107,2.275289535522461,0.0
8,0.7735101580619812,0.800000011920929,2.28402042388916,0.0,2.2766811847686768,0.0
9,0.5695306062698364,0.8916666507720947,2.2818241119384766,0.03333333507180214,2.2748663425445557,0.0
10,0.5005053877830505,0.9166666865348816,2.2779366970062256,0.0833333358168602,2.271141290664673,0.0
11,0.47051671147346497,0.9166666865348816,2.27353572845459,0.10000000149011612,2.2698354721069336,0.0
12,0.4053727388381958,0.9583333134651184,2.2724876403808594,0.0833333358168602,2.2700822353363037,0.0
13,0.3002663254737854,0.9750000238418579,2.2692902088165283,0.0833333358168602,2.2681522369384766,0.0
14,0.41891664266586304,0.9416666626930237,2.2645487785339355,0.06666667014360428,2.261568784713745,0.0
15,0.3570718467235565,0.9333333373069763,2.2542455196380615,0.06666667014360428,2.2535769939422607,0.0
16,0.3075504004955292,0.925000011920929,2.248061180114746,0.18333333730697632,2.2469303607940674,0.0833333358168602
17,0.3545031249523163,0.9333333373069763,2.2445929050445557,0.1666666716337204,2.241692304611206,0.0833333358168602
18,0.22764286398887634,0.9666666388511658,2.2368416786193848,0.20000000298023224,2.2331087589263916,0.0833333358168602
19,0.27977055311203003,0.949999988079071,2.2276723384857178,0.2666666805744171,2.2275631427764893,0.0833333358168602
20,0.26163408160209656,0.949999988079071,2.223308563232422,0.23333333432674408,2.2222325801849365,0.0833333358168602
21,0.21000686287879944,0.9583333134651184,2.2154505252838135,0.21666666865348816,2.2154715061187744,0.0833333358168602
22,0.1982629895210266,0.9833333492279053,2.2062745094299316,0.30000001192092896,2.2066051959991455,0.1666666716337204
23,0.2138361930847168,0.9666666388511658,2.19926381111145,0.4000000059604645,2.1976094245910645,0.25
24,0.27873140573501587,0.9666666388511658,2.1883959770202637,0.4333333373069763,2.18937087059021,0.3333333432674408
25,0.2742714583873749,0.9166666865348816,2.1854822635650635,0.44999998807907104,2.185532569885254,0.4166666567325592
26,0.24109195172786713,0.9666666388511658,2.184149742126465,0.44999998807907104,2.186255693435669,0.3333333432674408
27,0.2707635462284088,0.9583333134651184,2.1862590312957764,0.4000000059604645,2.1879560947418213,0.1666666716337204
28,0.20411385595798492,0.9666666388511658,2.187004566192627,0.4333333373069763,2.1856000423431396,0.25
29,0.15742754936218262,0.9750000238418579,2.1814656257629395,0.38333332538604736,2.1805357933044434,0.25
30,0.2342742532491684,0.9666666388511658,2.1738204956054688,0.4166666567325592,2.169999361038208,0.25
31,0.1604180634021759,0.9916666746139526,2.1616127490997314,0.4833333194255829,2.1551284790039062,0.3333333432674408
32,0.15015524625778198,0.9833333492279053,2.151689052581787,0.46666666865348816,2.1440768241882324,0.3333333432674408
33,0.1367218792438507,0.9833333492279053,2.143214702606201,0.46666666865348816,2.1356709003448486,0.3333333432674408
34,0.13091255724430084,1.0,2.138190269470215,0.4333333373069763,2.131298780441284,0.4166666567325592
35,0.10874733328819275,1.0,2.129660129547119,0.5166666507720947,2.1256744861602783,0.4166666567325592
36,0.16014693677425385,0.9750000238418579,2.126657009124756,0.5333333611488342,2.121586561203003,0.4166666567325592
37,0.10824064910411835,1.0,2.123666763305664,0.4833333194255829,2.117326021194458,0.4166666567325592
38,0.09508927911520004,1.0,2.1194376945495605,0.46666666865348816,2.112546682357788,0.5
39,0.1409132033586502,0.9833333492279053,2.110959529876709,0.4833333194255829,2.106221914291382,0.5
40,0.15615533292293549,0.9666666388511658,2.1038291454315186,0.5,2.100027322769165,0.5
41,0.08621465414762497,0.9916666746139526,2.0986509323120117,0.5166666507720947,2.094072103500366,0.5
42,0.10769391059875488,1.0,2.0922858715057373,0.550000011920929,2.0885019302368164,0.4166666567325592
43,0.10615506023168564,0.9833333492279053,2.0881645679473877,0.5333333611488342,2.084581136703491,0.5
44,0.09573977440595627,0.9916666746139526,2.083329677581787,0.550000011920929,2.0803046226501465,0.5
45,0.09228397905826569,0.9916666746139526,2.0804436206817627,0.550000011920929,2.0760138034820557,0.5
46,0.09549029916524887,0.9916666746139526,2.0760293006896973,0.5666666626930237,2.070608615875244,0.5
47,0.1068030521273613,0.9833333492279053,2.0686354637145996,0.5666666626930237,2.064072847366333,0.5
48,0.07895657420158386,1.0,2.061227798461914,0.5166666507720947,2.0566136837005615,0.5
49,0.07780640572309494,1.0,2.0563297271728516,0.5333333611488342,2.0499420166015625,0.5
