"","Axis.1","Axis.2","label"
"Con1-rep1-1-plate3",-0.0568344957086953,0.0395855398497501,2
"Con1-rep1-2-plate3",-0.0323846332481379,0.0158264452937056,1
"Con1-rep1-3-plate3",-0.0137549367647915,0.0179332683531072,2
"Con1-rep1-4-plate3",-0.00580367473023723,-0.0374433644309489,2
"Con1-rep1-5-plate3",0.0303188797904523,-0.0339656132015594,2
"Con1-rep1-6-plate3",0.02237709482526,0.0328360663555069,2
"Con1-rep2-1-plate3",0.00846152757927904,0.0527499879888035,1
"Con1-rep2-2-plate3",-0.0124585420967897,0.0479366829002128,1
"Con1-rep2-3-plate3",-0.00728203477463486,0.0320885896464935,2
"Con1-rep2-4-plate3",0.0427093581371457,0.0061968826312085,1
"Con1-rep2-5-plate3",0.0273741154944321,-0.0128241898252593,1
"Con1-rep2-6-plate3",0.0573826256461256,0.0623561921881776,1
"Con1-rep3-1-plate3",0.0128910030296867,-0.0458940683320674,1
"Con1-rep3-2-plate3",0.0396613656779416,-0.0393789496123818,2
"Con1-rep3-3-plate3",-0.0545539650158924,-0.0498380466637805,1
"Con1-rep3-4-plate3",0.0288737937750148,-0.0676910530593196,1
"Con1-rep3-5-plate3",0.0145264794884024,-0.0219580580293302,2
"Con1-rep3-6-plate3",0.0176386926611597,-0.0589406785071714,2
"Con2-rep1-1-plate3",0.0179506619578173,-0.0709643854630002,1
"Con2-rep1-2-plate3",0.0519066614956923,-0.0502209453605091,1
"Con2-rep1-3-plate3",0.0175589219157298,-0.0381528665015191,2
"Con2-rep1-4-plate3",0.0293483740987309,-0.0212914038202411,2
"Con2-rep1-5-plate3",0.016563570656954,-0.0505406126078538,1
"Con2-rep1-6-plate3",0.0660173940220337,0.0102774500201685,1
"Con2-rep2-1-plate3",-0.0031593735731142,0.0235716175788465,2
"Con2-rep2-2-plate3",0.0109827336416291,0.0331130542203772,1
"Con2-rep2-3-plate3",-0.113435757169738,-0.0195612856890516,1
"Con2-rep2-4-plate3",-0.0236002482320101,0.0404106185121195,1
"Con2-rep2-5-plate3",0.00634414554573158,0.00983815042380519,1
"Con2-rep2-6-plate3",-0.0677240132611498,-0.0279702027329481,1
"Con2-rep3-1-plate3",-0.0231266723752426,0.0518033282912743,2
"Con2-rep3-2-plate3",-0.011088341778962,0.0672643051615969,2
"Con2-rep3-3-plate3",-0.012204816937274,0.0363163616820289,2
"Con2-rep3-4-plate3",-0.00658995228534935,-0.0119432505996526,2
"Con2-rep3-5-plate3",-0.0333451830880183,0.0346011463671058,2
"Con2-rep3-6-plate3",-0.041282022068633,0.0429434902890802,2
