"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,49327.678084576,1796.27237138535,135804.016323402,0.932,0.004
1,34658.2737565346,6945.70347912074,79178.7722211825,0.825,0.004
2,34705.8030739747,6850.58370749812,79586.3410470759,0.698,0.004
3,34444.0704972568,6790.76438969382,79009.4460216086,0.515,0.004
4,34382.9859073386,6708.03931368196,79071.2759818762,0.321,0.004
5,33857.184201573,6631.19007867789,77788.5546368433,0.116,0.004
6,33507.048604137,6762.24232647477,76413.7322218922,0.02,0.004
7,31798.9162574243,6636.58568278433,71892.3730703999,0.003,0.004
