"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,67079.1649024542,1796.27237138535,130565.785062138,0.934,0.009
1,41874.3137772539,10115.437730184,63517.7520941399,0.75,0.009
2,41516.0964041542,10286.438703979,62459.3154003503,0.506,0.009
3,40990.1384490354,10001.231727078,61977.8134439147,0.253,0.009
4,41123.2486744972,9911.72256274615,62423.0522235022,0.064,0.009
5,38773.783739656,9988.66768929028,57570.2321007314,0.001,0.009
6,492537.841705774,105016.724046911,775042.235317726,0.948,0.009
7,42716.5398364786,9818.25819465246,65796.5632836523,0.426,0.009
8,40333.6921850483,10079.9137239541,60507.5569221885,0.139,0.009
9,39946.0987623149,9988.11736063371,59915.9628033624,0.013,0.009
