"","Axis.1","Axis.2","label"
"Con1-rep1-1-plate3",-0.0511814223009061,0.233691795000666,1
"Con1-rep1-2-plate3",-0.0344303627557768,0.107578854646064,1
"Con1-rep1-3-plate3",-0.00184563398534277,0.0886732408092296,2
"Con1-rep1-4-plate3",0.00130419529863699,-0.0925342196046619,2
"Con1-rep1-5-plate3",0.0319086727562329,-0.155180570887687,2
"Con1-rep1-6-plate3",0.0280605676870448,0.0535777528782903,2
"Con1-rep2-1-plate3",0.0170438906108292,0.136914304082041,2
"Con1-rep2-2-plate3",0.00113098542798871,0.156239530610911,2
"Con1-rep2-3-plate3",-0.0122002118039801,0.0930371118087483,1
"Con1-rep2-4-plate3",0.0280159115658614,-0.0763427832061025,1
"Con1-rep2-5-plate3",0.0292302961524497,-0.0845945796014709,2
"Con1-rep2-6-plate3",0.0615058046727821,0.0640290510766347,2
"Con1-rep3-1-plate3",0.00155631310096581,-0.163550586890893,1
"Con1-rep3-2-plate3",0.039515185097981,-0.181371857086364,2
"Con1-rep3-3-plate3",-0.0582810183643149,-0.0363916893579606,1
"Con1-rep3-4-plate3",0.0291905470825128,-0.233454003954693,2
"Con1-rep3-5-plate3",0.00379069536609031,-0.0925572660235099,1
"Con1-rep3-6-plate3",0.00634053961865512,-0.196642352629782,1
"Con2-rep1-1-plate3",0.00557716034496589,-0.221515984309317,1
"Con2-rep1-2-plate3",0.0487751204290294,-0.215697196015799,2
"Con2-rep1-3-plate3",0.0215947136102371,-0.120167518467243,2
"Con2-rep1-4-plate3",0.0165381940253518,-0.10894042165508,1
"Con2-rep1-5-plate3",0.0195280513795941,-0.14699804898089,2
"Con2-rep1-6-plate3",0.0491974887576587,-0.0896583070215329,1
"Con2-rep2-1-plate3",-0.00883924346909703,0.0641998278093996,1
"Con2-rep2-2-plate3",0.017844466805243,0.0748757685001616,2
"Con2-rep2-3-plate3",-0.0973344058549318,0.171770494573642,2
"Con2-rep2-4-plate3",-0.0255112810345251,0.136602535301575,1
"Con2-rep2-5-plate3",-0.00248086226268204,0.0106452020602417,1
"Con2-rep2-6-plate3",-0.0548157874754551,0.0565970568462618,2
"Con2-rep3-1-plate3",-0.0242129302258394,0.161493731402419,1
"Con2-rep3-2-plate3",-0.0137140074342691,0.180593230119334,1
"Con2-rep3-3-plate3",-0.0158284346833705,0.105011660011543,1
"Con2-rep3-4-plate3",0.00243211865787659,-0.0115903382673393,2
"Con2-rep3-5-plate3",-0.0336267816060858,0.133550596076595,1
"Con2-rep3-6-plate3",-0.0250370368660382,0.180818457482208,2
