lambda,0.05,,
eta,3.00E-04,,
F_orig,2.340863,,
F_init,0.3933455,,
F_final,0.4133561,,
,Axis.1,Axis.2,label
Con1-rep1-1-plate3,-0.056871877,0.03842961,1
Con1-rep1-2-plate3,-0.033215409,0.014488859,1
Con1-rep1-3-plate3,-0.012788914,0.018676591,2
Con1-rep1-4-plate3,-0.004800939,-0.036225908,2
Con1-rep1-5-plate3,0.031259276,-0.032435188,2
Con1-rep1-6-plate3,0.023153322,0.03367935,2
Con1-rep2-1-plate3,0.008506428,0.052373848,2
Con1-rep2-2-plate3,-0.012278308,0.047212498,2
Con1-rep2-3-plate3,-0.007466166,0.031508874,1
Con1-rep2-4-plate3,0.041739779,0.005694562,1
Con1-rep2-5-plate3,0.027445201,-0.012262862,2
Con1-rep2-6-plate3,0.057396352,0.062401799,2
Con1-rep3-1-plate3,0.011988621,-0.046226293,1
Con1-rep3-2-plate3,0.040620651,-0.037705059,2
Con1-rep3-3-plate3,-0.055280264,-0.050688158,1
Con1-rep3-4-plate3,0.029058601,-0.066569561,2
Con1-rep3-5-plate3,0.014386261,-0.021770239,1
Con1-rep3-6-plate3,0.017546788,-0.058338703,1
Con2-rep1-1-plate3,0.017020178,-0.070808837,1
Con2-rep1-2-plate3,0.052068386,-0.049065787,2
Con2-rep1-3-plate3,0.018595865,-0.036717588,2
Con2-rep1-4-plate3,0.029122897,-0.020939912,1
Con2-rep1-5-plate3,0.016824299,-0.049641246,2
Con2-rep1-6-plate3,0.06481426,0.009884315,1
Con2-rep2-1-plate3,-0.003349567,0.02326176,1
Con2-rep2-2-plate3,0.0109817,0.033051369,2
Con2-rep2-3-plate3,-0.113131818,-0.02036753,2
Con2-rep2-4-plate3,-0.024506099,0.038807485,1
Con2-rep2-5-plate3,0.005227735,0.008902807,1
Con2-rep2-6-plate3,-0.067512394,-0.028234648,2
Con2-rep3-1-plate3,-0.023264533,0.050835671,1
Con2-rep3-2-plate3,-0.011302392,0.066268317,1
Con2-rep3-3-plate3,-0.012415276,0.035752099,1
Con2-rep3-4-plate3,-0.005621316,-0.010972592,2
Con2-rep3-5-plate3,-0.03343152,0.033758068,1
Con2-rep3-6-plate3,-0.040272117,0.04313432,2
