"epoch","obj","obj_mds","obj_confr","p_z","p_0"
67,6847.03948608807,1221.1509567467,140647.213233534,0.491,0.005
68,7105.99807862899,1224.65494141451,147033.578430362,0.456,0.005
69,6819.60612174738,1227.12206646917,139812.101381955,0.441,0.005
70,6911.58223487596,1225.08223222461,142162.500066284,0.413,0.005
71,6837.79273199148,1223.48533112236,140357.685021728,0.445,0.005
72,6900.27331927037,1229.19882501383,141776.862356414,0.383,0.005
73,6725.08418125603,1221.67881872993,137585.134063153,0.417,0.005
74,6720.31294268923,1225.71709117742,137364.896287795,0.389,0.005
75,6910.22055649992,1222.88728829857,142183.331705034,0.396,0.005
76,6759.16852055424,1223.96597673681,138380.063595436,0.381,0.005
77,6785.631643072,1233.52911617515,138802.563172421,0.371,0.005
78,6894.58136431641,1233.05856975582,141538.069864015,0.378,0.005
79,6914.76507288055,1227.74915030256,142175.39806445,0.344,0.005
80,7088.86684406407,1231.15438575423,146442.811457746,0.318,0.005
81,6783.36368732572,1234.93964910911,138710.600955415,0.328,0.005
82,6855.19573977586,1231.30039216399,140597.383690297,0.311,0.005
83,6808.88834325872,1229.96275020259,139473.139826403,0.311,0.005
84,6794.72361682913,1234.53012509131,139004.837293445,0.31,0.005
85,6729.25786521939,1232.96199917525,137407.396651103,0.325,0.005
86,6881.67838670276,1228.59669258259,141327.042353004,0.324,0.005
87,6736.88103179492,1232.57604358074,137607.624705354,0.332,0.005
88,6891.90760040466,1239.23300783074,141316.864814348,0.324,0.005
89,6789.90557351106,1233.50831354846,138909.931499065,0.291,0.005
90,6847.68839919702,1234.80627153922,140322.053191445,0.302,0.005
91,6851.38393827299,1232.85136755884,140463.314267854,0.3,0.005
92,6801.31805521359,1237.46471473617,139096.333511935,0.281,0.005
93,6916.00193946485,1231.98548945758,142100.411250182,0.272,0.005
94,6814.38282731895,1237.11562833966,139431.679974482,0.284,0.005
95,6802.97599285384,1237.62528341034,139133.767736088,0.274,0.005
96,6886.40489591621,1239.05116366894,141183.843306182,0.247,0.005
97,6688.77941932978,1260.91134885345,135696.701761908,0.258,0.005
98,6903.37826765685,1235.08582771627,141707.310998515,0.261,0.005
99,6895.57822925002,1234.21072060451,141534.187716138,0.264,0.005
100,6786.10922301997,1241.13525781626,138624.349130093,0.246,0.005
101,6992.14909125858,1238.93262613639,143830.411628055,0.281,0.005
102,6944.0702864801,1238.20422179498,142646.651617128,0.226,0.005
103,6822.33379857856,1261.84844009201,139012.133962164,0.262,0.005
104,6905.66625780342,1237.6956722024,141699.264640025,0.225,0.005
105,6667.81826689668,1243.17502298359,135616.081097827,0.241,0.005
106,6671.36729538504,1240.26481942378,135777.561899032,0.245,0.005
107,6855.96766994421,1235.49888550106,140511.719611079,0.207,0.005
108,6755.32051209965,1240.32445716342,137874.901373406,0.265,0.005
109,6769.21370260428,1242.91189153451,138157.545276744,0.24,0.005
110,6725.45758821329,1242.84687822675,137065.267749664,0.233,0.005
111,6929.94591534036,1242.17568986797,142194.25563681,0.226,0.005
112,6900.74455421202,1243.39075305465,141433.845028934,0.223,0.005
113,6726.27467937173,1249.91354157834,136909.028444835,0.259,0.005
114,6772.72692528455,1243.19286508137,138238.351505079,0.263,0.005
115,6857.54520342078,1242.31453562403,140380.766694919,0.244,0.005
116,6803.80697030826,1253.02317418557,138769.594903067,0.221,0.005
117,6759.22629800274,1249.77756635507,137736.218291192,0.228,0.005
118,6822.32502675405,1244.73280911372,139439.805441008,0.215,0.005
119,6713.0083693642,1246.78649915738,136655.54675517,0.215,0.005
120,6819.66588613544,1249.6647202681,139250.029146684,0.22,0.005
121,6769.22347479114,1246.56885229687,138066.365562357,0.224,0.005
122,6818.13351807989,1242.60152647585,139388.299790101,0.217,0.005
123,6629.00351319509,1252.19926892946,134420.106106641,0.21,0.005
124,6778.71711302477,1247.67983593507,138275.931927243,0.218,0.005
125,6821.17791942398,1249.82042746269,139283.937299032,0.216,0.005
126,7160.07115437148,1251.98013614225,147702.275455731,0.228,0.005
127,6961.76396673719,1246.64462237694,142877.983609006,0.239,0.005
128,6774.96749710372,1247.06783498973,138197.49155285,0.206,0.005
129,7114.63180587816,1247.90733244446,146668.111835842,0.224,0.005
130,6754.68871077928,1245.77066714309,137722.951090905,0.203,0.005
131,6832.17311155359,1243.12708702925,139726.150613109,0.195,0.005
132,6789.29657548819,1244.73891762058,138613.94144669,0.223,0.005
133,6727.44739290509,1248.19715099436,136981.256047768,0.219,0.005
134,6580.63269996262,1252.55209045757,133202.015237626,0.219,0.005
135,6805.2526815404,1248.49662377548,138918.901444123,0.225,0.005
136,6802.32634918773,1248.73656918282,138839.744500123,0.2,0.005
137,6850.01993894802,1247.95410829001,140051.64576645,0.238,0.005
138,6787.28094423761,1255.80783624292,138286.827699867,0.211,0.005
139,6764.14918189054,1246.53406573843,137940.377903803,0.21,0.005
140,6948.0552421627,1249.15457596092,142472.516655044,0.203,0.005
141,6737.34224686731,1257.18373448791,137003.962809485,0.201,0.005
142,6760.05637208177,1247.51354630303,137813.570644469,0.207,0.005
143,6669.98121184463,1249.36262151017,135515.464758361,0.206,0.005
144,6750.84528599833,1244.60011515355,137656.129271119,0.218,0.005
145,6865.29457647859,1250.4388623789,140371.392852492,0.221,0.005
146,6855.00549143873,1253.82992868241,140029.389068908,0.199,0.005
147,6806.76191262285,1252.13024243722,138865.791754641,0.21,0.005
148,6752.69202038185,1260.8107601439,137297.031505949,0.202,0.005
149,6868.73110229176,1245.55883288087,140579.306735272,0.198,0.005
150,6751.88068627214,1252.72105654762,137478.990743113,0.208,0.005
