"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,0.449317488629502,0.447492883125161,0.0364921100868156,0.507,0.074
1,0.238287384670669,0.235626687844171,0.0532139365299672,0.573,0.074
2,0.220463658659073,0.217609302859297,0.0570871159955303,0.561,0.074
3,0.210715069448249,0.20736700364199,0.0669613161251816,0.587,0.074
4,0.204678775801543,0.201930504878279,0.0549654184652934,0.6,0.074
5,0.203240039257095,0.199952189925371,0.0657569866344734,0.599,0.074
6,0.202072245503264,0.198904839737957,0.0633481153061296,0.58,0.074
7,0.201535760274254,0.19820621852883,0.0665908349084899,0.585,0.074
8,0.201150939020876,0.197695827963308,0.0691022211513615,0.557,0.074
9,0.200397716323238,0.197255644138699,0.0628414436907833,0.57,0.074
10,0.200125868993209,0.196859869227767,0.0653199953088488,0.567,0.074
11,0.199812900748035,0.196499410498557,0.0662698049895584,0.548,0.074
12,0.200064112220714,0.196162201258001,0.0780382192542673,0.533,0.074
13,0.199388134888102,0.19585777306769,0.070607236408244,0.525,0.074
14,0.198722207177957,0.195580635032163,0.0628314429158886,0.525,0.074
15,0.198293852012996,0.195294301033148,0.0599910195969636,0.53,0.074
16,0.198199507797982,0.195075707500858,0.0624760059424723,0.509,0.074
17,0.198340566704257,0.194852355975562,0.0697642145739085,0.522,0.074
18,0.197098518574135,0.194670513461959,0.0485601022435068,0.486,0.074
19,0.197245757105115,0.194505976210124,0.0547956178998013,0.551,0.074
20,0.197706711048227,0.194342043839566,0.0672933441732244,0.518,0.074
21,0.197360308207854,0.194189079172154,0.0634245807140048,0.51,0.074
22,0.197061036162221,0.194019079255019,0.0608391381440312,0.508,0.074
23,0.196622549855942,0.193849258195885,0.0554658332011319,0.524,0.074
24,0.195883008901067,0.193691668823614,0.0438268015490652,0.495,0.074
25,0.195848115605662,0.193489088278125,0.0471805465507418,0.531,0.074
26,0.196892224829438,0.193292188033773,0.0720007359133012,0.512,0.074
27,0.196099089546178,0.193086833428291,0.0602451223577463,0.524,0.074
28,0.195252091436202,0.192873851131644,0.047564806091152,0.522,0.074
29,0.195582670350487,0.192688466659542,0.0578840738189059,0.52,0.074
30,0.195694917791834,0.192511163770015,0.063675080436392,0.532,0.074
31,0.195594397580412,0.192359000024645,0.0647079511153346,0.516,0.074
32,0.195289059166766,0.192232049229435,0.0611401987466267,0.549,0.074
33,0.195780225415773,0.1921325155201,0.0729541979134602,0.54,0.074
34,0.195161618819474,0.192029273715804,0.0626469020733982,0.566,0.074
35,0.194700938920235,0.191968520371418,0.054648370976346,0.549,0.074
36,0.195203022743268,0.191907170980795,0.0659170352494547,0.514,0.074
37,0.195039101692091,0.191861050662685,0.0635610205881271,0.548,0.074
38,0.194813804883912,0.191821160872845,0.0598528802213302,0.561,0.074
39,0.19507304995813,0.191794437465975,0.06557224984309,0.548,0.074
40,0.194335356312059,0.191780140132971,0.051104323581768,0.567,0.074
41,0.194484862124029,0.191765833748622,0.0543805675081394,0.541,0.074
42,0.194904332153933,0.191747619045361,0.063134262171424,0.549,0.074
43,0.195338263380473,0.191734374120707,0.0720777851953133,0.573,0.074
44,0.195166891554348,0.191723617526521,0.0688654805565408,0.57,0.074
45,0.195102332030478,0.191731296306041,0.0674207144887379,0.54,0.074
46,0.194648054343575,0.191704660951434,0.0588678678428238,0.536,0.074
47,0.194869431279407,0.19171250178911,0.063138589805933,0.518,0.074
48,0.195599491492022,0.191695464631313,0.0780805372141699,0.511,0.074
49,0.194821802723303,0.191696833167339,0.0624993911192721,0.558,0.074
50,0.195439982025823,0.191691704501129,0.0749655504938684,0.549,0.074
