"epoch","obj","obj_mds","obj_confr","p_z","p_0"
0,107.261164978376,70.2279422925619,92.5830567145363,0.761,0.042
1,184.093384610162,25.3983961679497,396.73747110553,0.977,0.042
2,201.462223461723,23.4840572703377,444.945415478462,0.972,0.042
3,203.83081002841,22.7276050777544,452.758012376638,0.957,0.042
4,202.821755419192,22.3408168947233,451.202346311173,0.909,0.042
5,180.801402989331,22.090506738443,396.777240627219,0.848,0.042
6,197.78238701711,21.9014436772383,439.70235834968,0.723,0.042
7,181.245532133493,21.7656422232295,398.699724775659,0.577,0.042
8,155.258170623098,21.6715451669535,333.966563640361,0.39,0.042
9,122.304430887233,21.6035335306976,251.752243391338,0.204,0.042
10,55.0093410079139,21.5614054069993,83.6198390022867,0.052,0.042
