"V1","V2"
151.520759497802,-504.543646020771
111.873203898058,-383.401482396409
137.392219070026,-280.73334719857
-74.4567939565453,557.533283467149
-119.28061691536,399.891681483118
303.282987693704,-324.962017525565
312.993749345514,-420.035372435295
203.300993288504,-186.488914928283
281.503887642889,-509.846185647689
-250.52018933441,262.95702170967
157.362255075489,386.184918068025
377.359754971014,-172.564154229407
-106.599482398762,642.903875018223
-120.731459369922,327.138496433576
249.143955077089,70.8388715094299
68.1125520789514,541.402917029551
-238.982686945721,425.724469569469
12.7757692685546,608.094148742024
195.229772977577,642.667422600097
1.11202823977805,335.80999673624
-190.421161555351,593.854749079449
-107.057802279985,236.065173782864
136.282330908939,491.574304514959
-339.720839131933,223.959219526297
-66.66717335809,-181.278026055119
56.1279375793659,-119.526287044604
-238.582506927997,-759.812418189507
-92.7576971954708,-340.425538849505
-186.413045388507,-104.640962529336
-200.636967699953,-703.943921114809
-199.533714897905,-291.692905670167
-6.42906558000388,-533.855024243085
-121.020783309858,-231.881979391902
-104.201786633688,21.4762461098272
-30.0882832400591,-446.402897565509
38.7278995062679,-272.041714344437
