"Axis.1","Axis.2"
-0.0636691115524461,0.0189270608817813
-0.0330405481375378,-0.00261988527129932
-0.00780140140662343,0.00726074759049007
-0.00157428193728572,-0.0340546821887332
0.0397781317480755,-0.0215760271610932
0.0334089737187843,0.0317208595229075
0.0195812205889238,0.0534195737073715
-0.000324342345332771,0.0809455416784647
0.000657169154993837,0.0470586694364922
0.0509080214765188,0.0108050975821589
0.0513050377612396,-0.00438931768815424
0.0690463251204974,0.0643165578666227
0.0198946608730041,-0.0421963328085708
0.0446129432693379,-0.0248402923735897
-0.0500776621831097,-0.0657220440046287
0.0419708423347177,-0.0537339485828534
0.0224256581527301,-0.0160217742874699
0.0289289994016236,-0.0485809350909024
0.00185225352550096,-0.0733698660240681
0.0507530516343258,-0.0363869467464417
0.00925892329251865,-0.0330299118417022
0.021584785339236,-0.0110506239159204
0.0045875692888256,-0.0480118104498788
0.082420082953011,0.0239515271623945
-0.0134091849968203,0.0164843284984966
0.0126122323090209,0.0364769021454373
-0.124627228685641,-0.0357979816735888
-0.0359139848144622,0.0253548711878732
0.00378019138994733,0.0141830863800649
-0.0747624448284697,-0.0331544341591848
-0.0349679503983984,0.0399620108033565
-0.0279912335539276,0.0562642900975226
-0.021037400501168,0.02502318045938
-0.0165151911330802,-0.0133642008596116
-0.0499176875306927,0.0152953430969981
-0.0537374193278368,0.0304513670298792
