"Axis.1","Axis.2"
-0.052308847923607,0.0221509782285662
-0.0298925379965238,0.00829085963040095
-0.0124814128623362,0.0141225646023785
-0.00388849969736552,-0.0298491519700731
0.0292289261779613,-0.0214006477568727
0.0202021094779466,0.0298697715685301
0.00627016117564528,0.0407936951480867
-0.0119289076986408,0.0303522729709357
-0.00653176461341828,0.0236128232378212
0.0398703556586067,0.0121447382634434
0.0243477493928282,-0.0061641502460512
0.0535259054635114,0.0581350864872985
0.0134534820306945,-0.0338624355936382
0.0391751630618776,-0.0244815921002624
-0.0518402636430896,-0.0479944974028265
0.0275468380079229,-0.0490399663879286
0.0149995754878979,-0.014303034953085
0.0182389712804513,-0.0431692893837493
0.0177694752752506,-0.0504815378782641
0.0496540138970714,-0.0315839298787679
0.0177043743073788,-0.0264383417740716
0.0280901901938553,-0.0114387606424121
0.0160003067648771,-0.0369222030462369
0.0575815935355081,0.0176368864638506
-0.0033968330406634,0.020008022539506
0.00752468825205146,0.0269903543060353
-0.109192786003652,-0.0354710633601688
-0.0221111411155014,0.0280624564484549
0.00449330535199658,0.00921743914026272
-0.066056711854285,-0.0347391470168562
-0.0211810843982498,0.0366797308600497
-0.0105947764749503,0.0503257114734965
-0.0116605925706145,0.0279635326178594
-0.00520933697193564,-0.00964555965616617
-0.0296171472955115,0.0229772214214557
-0.0377845406329883,0.0276511636389991
